Z,element,ionization_energy_eV
1,Hydrogen,13.59844
2,Helium,24.58741
3,Lithium,5.39172
4,Beryllium,9.3227
5,Boron,8.29803
6,Carbon,11.26030
7,Nitrogen,14.53414
8,Oxygen,13.61806
9,Fluorine,17.42282
10,Neon,21.56454
11,Sodium,5.13908
12,Magnesium,7.64624
13,Aluminum,5.98577
14,Silicon,8.15169
15,Phosphorus,10.48669
16,Sulfur,10.36001
17,Chlorine,12.96764
18,Argon,15.75962
19,Potassium,4.34066
20,Calcium,6.11316
21,Scandium,6.56149
22,Titanium,6.82812
23,Vanadium,6.74619
24,Chromium,6.76651
25,Manganese,7.43402
26,Iron,7.90247
27,Cobalt,7.88101
28,Nickel,7.63980
29,Copper,7.72638
30,Zinc,9.39420
31,Gallium,5.99930
32,Germanium,7.89944
33,Arsenic,9.78855
34,Selenium,9.75242
35,Bromine,11.81381
36,Krypton,13.99961
37,Rubidium,4.17713
38,Strontium,5.69485
39,Yttrium,6.21726
40,Zirconium,6.63390
41,Niobium,6.75885
42,Molybdenum,7.09243
43,Technetium,7.28000
44,Ruthenium,7.36050
45,Rhodium,7.45890
46,Palladium,8.33690
47,Silver,7.57623
48,Cadmium,8.99382
49,Indium,5.78636
50,Tin,7.34392
51,Antimony,8.60840
52,Tellurium,9.00966
53,Iodine,10.45126
54,Xenon,12.12984
55,Cesium,3.89390
56,Barium,5.21170
57,Lanthanum,5.57690
58,Cerium,5.53870
59,Praseodymium,5.47300
60,Neodymium,5.52500
61,Promethium,5.58200
62,Samarium,5.64370
63,Europium,5.67040
64,Gadolinium,6.14980
65,Terbium,5.86380
66,Dysprosium,5.93890
67,Holmium,6.02150
68,Erbium,6.10770
69,Thulium,6.18430
70,Ytterbium,6.25420
71,Lutetium,5.42590
72,Hafnium,6.82510
73,Tantalum,7.54960
74,Tungsten,7.86400
75,Rhenium,7.83350
76,Osmium,8.43820
77,Iridium,8.96700
78,Platinum,8.95880
79,Gold,9.22560
80,Mercury,10.43750
81,Thallium,6.10830
82,Lead,7.41670
83,Bismuth,7.28560
84,Polonium,8.41400
85,Astatine,9.31750
86,Radon,10.74850
87,Francium,4.07270
88,Radium,5.27840
89,Actinium,5.17000
90,Thorium,6.30670
91,Protactinium,5.89000
92,Uranium,6.19410
93,Neptunium,6.26550
94,Plutonium,6.02580
95,Americium,5.97380
96,Curium,5.99140
97,Berkelium,6.19780
98,Californium,6.28170
99,Einsteinium,6.36760
100,Fermium,6.50000
101,Mendelevium,6.58000
102,Nobelium,6.62000
103,Lawrencium,4.96000
