Z,N,A,element,binding_energy_per_nucleon_MeV
1,1,2,H,1.112
1,2,3,H,2.827
2,1,3,He,2.573
2,2,4,He,7.074
3,3,6,Li,5.332
3,4,7,Li,5.606
4,4,8,Be,7.062
4,5,9,Be,6.463
5,5,10,B,6.475
5,6,11,B,6.928
6,6,12,C,7.680
6,7,13,C,7.470
7,7,14,N,7.475
7,8,15,N,7.699
8,8,16,O,7.976
8,9,17,O,7.751
8,10,18,O,7.767
9,10,19,F,7.779
10,10,20,Ne,8.032
10,12,22,Ne,8.080
11,12,23,Na,8.111
12,12,24,Mg,8.260
13,14,27,Al,8.332
14,14,28,Si,8.448
15,16,31,P,8.481
16,16,32,S,8.493
17,18,35,Cl,8.520
18,22,40,Ar,8.595
19,20,39,K,8.557
20,20,40,Ca,8.551
20,28,48,Ca,8.666
22,26,48,Ti,8.723
24,28,52,Cr,8.776
25,30,55,Mn,8.765
26,28,54,Fe,8.736
26,30,56,Fe,8.790
26,32,58,Fe,8.792
28,30,58,Ni,8.732
28,32,60,Ni,8.781
28,34,62,Ni,8.795
29,34,63,Cu,8.752
30,34,64,Zn,8.736
36,48,84,Kr,8.717
38,50,88,Sr,8.733
40,50,90,Zr,8.710
42,54,96,Mo,8.654
50,68,118,Sn,8.517
50,70,120,Sn,8.505
54,78,132,Xe,8.428
56,82,138,Ba,8.393
60,82,142,Nd,8.346
62,90,152,Sm,8.244
64,94,158,Gd,8.188
68,98,166,Er,8.120
70,104,174,Yb,8.049
74,110,184,W,7.948
78,117,195,Pt,7.854
79,118,197,Au,7.916
82,126,208,Pb,7.867
83,126,209,Bi,7.848
92,143,235,U,7.591
92,146,238,U,7.570
94,145,239,Pu,7.560
96,148,244,Cm,7.524
102,150,252,No,7.427
118,176,294,Og,7.070
