system,inner_body,outer_body,period_inner_days,period_outer_days,nominal_resonance
SolarSystem,Mercury,Venus,87.9691,224.701,none
SolarSystem,Venus,Earth,224.701,365.256,none
SolarSystem,Earth,Mars,365.256,686.980,none
SolarSystem,Mars,Jupiter,686.980,4332.589,none
SolarSystem,Jupiter,Saturn,4332.589,10759.22,5:2
SolarSystem,Saturn,Uranus,10759.22,30688.5,none
SolarSystem,Uranus,Neptune,30688.5,60182.0,2:1
SolarSystem,Neptune,Pluto,60182.0,90560.0,3:2
Galilean,Io,Europa,1.769138,3.551181,2:1
Galilean,Europa,Ganymede,3.551181,7.154553,2:1
Galilean,Ganymede,Callisto,7.154553,16.689018,7:3
TRAPPIST-1,b,c,1.5108,2.4218,8:5
TRAPPIST-1,c,d,2.4218,4.0498,5:3
TRAPPIST-1,d,e,4.0498,6.0996,3:2
TRAPPIST-1,e,f,6.0996,9.2067,3:2
TRAPPIST-1,f,g,9.2067,12.3530,4:3
TRAPPIST-1,g,h,12.3530,18.7672,3:2
Kepler-223,b,c,7.3845,9.8456,4:3
Kepler-223,c,d,9.8456,14.7887,3:2
Kepler-223,d,e,14.7887,19.7257,4:3
Kepler-80,d,e,3.0722,4.6453,3:2
Kepler-80,e,b,4.6453,7.0525,3:2
Kepler-80,b,c,7.0525,9.5236,4:3
Kepler-90,b,c,7.008,8.720,5:4
Kepler-90,c,i,8.720,14.449,5:3
Kepler-90,i,d,14.449,59.737,4:1
GJ876,c,b,30.088,61.117,2:1
GJ876,b,e,61.117,124.26,2:1
HR8799,e,d,49.0,99.5,2:1
HR8799,d,c,99.5,207.5,2:1
HR8799,c,b,207.5,464.3,2:1
TOI-178,c,d,3.2387,6.5578,2:1
TOI-178,d,e,6.5578,9.9620,5:3
TOI-178,e,f,9.9620,15.2314,3:2
TOI-178,f,g,15.2314,20.7096,4:3
